sexe_annee_dpt,annee,top,cla_age_5,sexe,dept,Npop,prev
9_2015_02,2015,,70-74,9,02,18020,8.646
1_2015_02,2015,,75-79,1,02,7290,5.996
2_2015_02,2015,,75-79,2,02,9770,12.495
9_2015_02,2015,,75-79,9,02,17060,9.719
1_2015_02,2015,,80-84,1,02,5940,6.955
2_2015_02,2015,,80-84,2,02,9600,13.787
9_2015_02,2015,,80-84,9,02,15540,11.177
1_2015_02,2015,,85-89,1,02,3600,8.757
2_2015_02,2015,,85-89,2,02,7310,15.505
9_2015_02,2015,,85-89,9,02,10910,13.28
1_2015_02,2015,,90-94,1,02,1350,10.393
2_2015_02,2015,,90-94,2,02,3850,14.056
9_2015_02,2015,,90-94,9,02,5200,13.106
1_2015_02,2015,,95et+,1,02,220,9.722
2_2015_02,2015,,95et+,2,02,920,13.319
9_2015_02,2015,,95et+,9,02,1130,12.633
1_2015_02,2015,,tsage,1,02,246160,3.006
2_2015_02,2015,,tsage,2,02,267180,6.502
9_2015_02,2015,,tsage,9,02,513330,4.826
1_2015_03,2015,,00-04,1,03,7900,0
2_2015_03,2015,,00-04,2,03,7530,0
9_2015_03,2015,,00-04,9,03,15430,0
1_2015_03,2015,,05-09,1,03,8510,0
2_2015_03,2015,,05-09,2,03,8260,0
9_2015_03,2015,,05-09,9,03,16770,0
1_2015_03,2015,,10-14,1,03,8830,0
2_2015_03,2015,,10-14,2,03,8420,0
9_2015_03,2015,,10-14,9,03,17240,0
1_2015_03,2015,,15-19,1,03,8750,0.297
2_2015_03,2015,,15-19,2,03,8660,0.45
9_2015_03,2015,,15-19,9,03,17410,0.373
1_2015_03,2015,,20-24,1,03,7680,0.729
2_2015_03,2015,,20-24,2,03,7940,1.197
9_2015_03,2015,,20-24,9,03,15620,0.967
1_2015_03,2015,,25-29,1,03,7360,1.087
2_2015_03,2015,,25-29,2,03,7890,2.306
9_2015_03,2015,,25-29,9,03,15250,1.718
1_2015_03,2015,,30-34,1,03,7670,2.06
2_2015_03,2015,,30-34,2,03,8410,3.649
9_2015_03,2015,,30-34,9,03,16090,2.891
1_2015_03,2015,,35-39,1,03,7870,2.796
