sexe_annee_dpt,annee,top,cla_age_5,sexe,dept,Npop,prev
2_2017_999,2017,,65-69,2,999,93410,10.632
2_2017_999,2017,,65-69,2,999,189830,8.728
2_2017_999,2017,,65-69,2,999,118130,9.488
2_2017_999,2017,,65-69,2,999,206010,10.234
2_2017_999,2017,,65-69,2,999,17290,3.805
2_2017_999,2017,,65-69,2,999,164130,9.126
2_2017_999,2017,,65-69,2,999,2015250,9.425
2_2017_999,2017,,65-69,2,999,231660,10.046
9_2017_999,2017,,65-69,9,999,162400,7.528
9_2017_999,2017,,65-69,9,999,33500,3.161
9_2017_999,2017,,65-69,9,999,5510,2.034
9_2017_999,2017,,65-69,9,999,394560,7.648
9_2017_999,2017,,65-69,9,999,329030,6.399
9_2017_999,2017,,65-69,9,999,335200,7.386
9_2017_999,2017,,65-69,9,999,22310,2.541
9_2017_999,2017,,65-69,9,999,21500,2.056
9_2017_999,2017,,65-69,9,999,552800,6.964
9_2017_999,2017,,65-69,9,999,205630,8.247
9_2017_999,2017,,65-69,9,999,19180,6.44
9_2017_999,2017,,65-69,9,999,442630,7.605
9_2017_999,2017,,65-69,9,999,3848530,7.1
9_2017_999,2017,,65-69,9,999,211140,7.17
9_2017_999,2017,,65-69,9,999,311070,6.867
9_2017_999,2017,,65-69,9,999,2080,1.925
9_2017_999,2017,,65-69,9,999,364830,6.565
9_2017_999,2017,,65-69,9,999,225990,7.21
9_2017_999,2017,,65-69,9,999,181090,7.884
1_2017_999,2017,,70-74,1,999,1800,1.608
1_2017_999,2017,,70-74,1,999,630,3.035
1_2017_999,2017,,70-74,1,999,144300,5.778
1_2017_999,2017,,70-74,1,999,72170,5.94
1_2017_999,2017,,70-74,1,999,112520,4.43
1_2017_999,2017,,70-74,1,999,7290,4.869
1_2017_999,2017,,70-74,1,999,1405310,5.141
1_2017_999,2017,,70-74,1,999,11160,2.921
1_2017_999,2017,,70-74,1,999,59310,5.48
1_2017_999,2017,,70-74,1,999,124680,4.799
1_2017_999,2017,,70-74,1,999,67180,5.597
1_2017_999,2017,,70-74,1,999,169690,5.637
1_2017_999,2017,,70-74,1,999,110990,5.179
1_2017_999,2017,,70-74,1,999,7690,2.107
1_2017_999,2017,,70-74,1,999,201390,4.983
1_2017_999,2017,,70-74,1,999,79010,5.308
1_2017_999,2017,,70-74,1,999,138700,4.873
1_2017_999,2017,,70-74,1,999,7440,1.613
1_2017_999,2017,,70-74,1,999,73830,5.422
2_2017_999,2017,,70-74,2,999,142970,9.727
2_2017_999,2017,,70-74,2,999,89700,10.85
2_2017_999,2017,,70-74,2,999,225630,10.201
2_2017_999,2017,,70-74,2,999,156330,9.663
2_2017_999,2017,,70-74,2,999,81560,11.989
2_2017_999,2017,,70-74,2,999,123160,9.401
2_2017_999,2017,,70-74,2,999,162530,11.248
2_2017_999,2017,,70-74,2,999,188530,11.207
2_2017_999,2017,,70-74,2,999,9030,3.202
2_2017_999,2017,,70-74,2,999,73320,11.609
2_2017_999,2017,,70-74,2,999,129650,10.684
2_2017_999,2017,,70-74,2,999,1578470,10.403
2_2017_999,2017,,70-74,2,999,1730,3.59
2_2017_999,2017,,70-74,2,999,630,2.389
2_2017_999,2017,,70-74,2,999,7990,9.835
2_2017_999,2017,,70-74,2,999,65880,11.187
2_2017_999,2017,,70-74,2,999,85920,10.415
2_2017_999,2017,,70-74,2,999,9220,3.439
2_2017_999,2017,,70-74,2,999,12460,4.303
9_2017_999,2017,,70-74,9,999,140500,8.735
9_2017_999,2017,,70-74,9,999,125190,8.483
9_2017_999,2017,,70-74,9,999,358220,8.568
9_2017_999,2017,,70-74,9,999,3530,2.577
9_2017_999,2017,,70-74,9,999,16460,2.484
9_2017_999,2017,,70-74,9,999,16910,2.833
9_2017_999,2017,,70-74,9,999,159750,8.107
9_2017_999,2017,,70-74,9,999,2983780,7.925
9_2017_999,2017,,70-74,9,999,240630,8.145
9_2017_999,2017,,70-74,9,999,153730,9.149
9_2017_999,2017,,70-74,9,999,235680,7.028
9_2017_999,2017,,70-74,9,999,427020,7.74
9_2017_999,2017,,70-74,9,999,306820,8.675
9_2017_999,2017,,70-74,9,999,23620,3.65
9_2017_999,2017,,70-74,9,999,267650,7.431
9_2017_999,2017,,70-74,9,999,15280,7.466
9_2017_999,2017,,70-74,9,999,1250,2.711
9_2017_999,2017,,70-74,9,999,168710,8.255
9_2017_999,2017,,70-74,9,999,295020,7.411
1_2017_999,2017,,75-79,1,999,460,0
1_2017_999,2017,,75-79,1,999,980,3.279
1_2017_999,2017,,75-79,1,999,7650,3.819
1_2017_999,2017,,75-79,1,999,5520,2.829
1_2017_999,2017,,75-79,1,999,50020,6.452
1_2017_999,2017,,75-79,1,999,82670,5.068
1_2017_999,2017,,75-79,1,999,5640,5.298
1_2017_999,2017,,75-79,1,999,68570,6.201
1_2017_999,2017,,75-79,1,999,98090,7.163
1_2017_999,2017,,75-79,1,999,46860,7.161
1_2017_999,2017,,75-79,1,999,135260,5.985
1_2017_999,2017,,75-79,1,999,962480,6.247
1_2017_999,2017,,75-79,1,999,46160,6.863
1_2017_999,2017,,75-79,1,999,40710,6.716
1_2017_999,2017,,75-79,1,999,94590,6.182
1_2017_999,2017,,75-79,1,999,53710,6.589
1_2017_999,2017,,75-79,1,999,116900,6.879
1_2017_999,2017,,75-79,1,999,5480,2.536
1_2017_999,2017,,75-79,1,999,89700,6.064
2_2017_999,2017,,75-79,2,999,139370,12.434
2_2017_999,2017,,75-79,2,999,9980,5.432
2_2017_999,2017,,75-79,2,999,6440,10.699
2_2017_999,2017,,75-79,2,999,1168270,11.718
2_2017_999,2017,,75-79,2,999,490,0
2_2017_999,2017,,75-79,2,999,1080,3.509
2_2017_999,2017,,75-79,2,999,55380,13.018
2_2017_999,2017,,75-79,2,999,106640,11.349
2_2017_999,2017,,75-79,2,999,162820,11.36
2_2017_999,2017,,75-79,2,999,91160,11.819
2_2017_999,2017,,75-79,2,999,66390,12.196
2_2017_999,2017,,75-79,2,999,63920,11.815
2_2017_999,2017,,75-79,2,999,48630,12.566
2_2017_999,2017,,75-79,2,999,112610,11.253
2_2017_999,2017,,75-79,2,999,101170,10.498
2_2017_999,2017,,75-79,2,999,60060,13.062
2_2017_999,2017,,75-79,2,999,7310,3.928
2_2017_999,2017,,75-79,2,999,119300,12.941
2_2017_999,2017,,75-79,2,999,6860,4.068
9_2017_999,2017,,75-79,9,999,12080,8.176
9_2017_999,2017,,75-79,9,999,950,1.475
9_2017_999,2017,,75-79,9,999,106930,10.475
9_2017_999,2017,,75-79,9,999,2130760,9.247
9_2017_999,2017,,75-79,9,999,183840,8.056
9_2017_999,2017,,75-79,9,999,159730,9.408
9_2017_999,2017,,75-79,9,999,101540,10.22
9_2017_999,2017,,75-79,9,999,207200,8.938
9_2017_999,2017,,75-79,9,999,12790,3.332
9_2017_999,2017,,75-79,9,999,17620,4.732
9_2017_999,2017,,75-79,9,999,298080,8.921
9_2017_999,2017,,75-79,9,999,113940,9.46
9_2017_999,2017,,75-79,9,999,89340,9.9
9_2017_999,2017,,75-79,9,999,12370,3.515
9_2017_999,2017,,75-79,9,999,217400,10.334
9_2017_999,2017,,75-79,9,999,2060,3.4
9_2017_999,2017,,75-79,9,999,120100,9.689
9_2017_999,2017,,75-79,9,999,256270,9.9
9_2017_999,2017,,75-79,9,999,196340,8.934
1_2017_999,2017,,80-84,1,999,85340,9.031
1_2017_999,2017,,80-84,1,999,4860,4.646
1_2017_999,2017,,80-84,1,999,290,0
1_2017_999,2017,,80-84,1,999,4220,7.375
1_2017_999,2017,,80-84,1,999,40180,8.329
1_2017_999,2017,,80-84,1,999,35160,7.787
1_2017_999,2017,,80-84,1,999,43300,7.859
1_2017_999,2017,,80-84,1,999,102430,7.544
1_2017_999,2017,,80-84,1,999,38070,8.398
1_2017_999,2017,,80-84,1,999,69180,7.821
1_2017_999,2017,,80-84,1,999,56150,7.282
1_2017_999,2017,,80-84,1,999,65140,6.21
1_2017_999,2017,,80-84,1,999,46470,7.844
1_2017_999,2017,,80-84,1,999,782380,7.732
1_2017_999,2017,,80-84,1,999,92020,8.67
1_2017_999,2017,,80-84,1,999,610,1.974
1_2017_999,2017,,80-84,1,999,3840,3.644
1_2017_999,2017,,80-84,1,999,79400,7.716
1_2017_999,2017,,80-84,1,999,4410,2.905
2_2017_999,2017,,80-84,2,999,770,3.766
2_2017_999,2017,,80-84,2,999,5600,12.321
2_2017_999,2017,,80-84,2,999,95140,13.055
2_2017_999,2017,,80-84,2,999,65890,13.804
2_2017_999,2017,,80-84,2,999,60510,14.608
2_2017_999,2017,,80-84,2,999,7530,7.314
2_2017_999,2017,,80-84,2,999,270,0
2_2017_999,2017,,80-84,2,999,48130,13.829
2_2017_999,2017,,80-84,2,999,92720,12.596
2_2017_999,2017,,80-84,2,999,6240,4.889
2_2017_999,2017,,80-84,2,999,1112060,13.288
2_2017_999,2017,,80-84,2,999,117720,14.959
2_2017_999,2017,,80-84,2,999,95800,11.598
2_2017_999,2017,,80-84,2,999,53710,14.444
2_2017_999,2017,,80-84,2,999,130150,14.042
2_2017_999,2017,,80-84,2,999,107140,13.222
2_2017_999,2017,,80-84,2,999,65280,13.244
2_2017_999,2017,,80-84,2,999,5640,5.04
2_2017_999,2017,,80-84,2,999,146220,12.852
9_2017_999,2017,,80-84,9,999,91780,11.936
9_2017_999,2017,,80-84,9,999,186540,10.878
9_2017_999,2017,,80-84,9,999,9480,4.474
9_2017_999,2017,,80-84,9,999,112360,11.339
9_2017_999,2017,,80-84,9,999,148870,10.592
9_2017_999,2017,,80-84,9,999,1894440,10.993
9_2017_999,2017,,80-84,9,999,10650,4.068
9_2017_999,2017,,80-84,9,999,248650,10.665
9_2017_999,2017,,80-84,9,999,160940,9.417
9_2017_999,2017,,80-84,9,999,108580,11.096
9_2017_999,2017,,80-84,9,999,222170,11.817
9_2017_999,2017,,80-84,9,999,83290,11.279
9_2017_999,2017,,80-84,9,999,164320,10.851
9_2017_999,2017,,80-84,9,999,1380,2.975
9_2017_999,2017,,80-84,9,999,12400,6.268
9_2017_999,2017,,80-84,9,999,203060,12.467
9_2017_999,2017,,80-84,9,999,560,0
9_2017_999,2017,,80-84,9,999,9820,10.197
9_2017_999,2017,,80-84,9,999,100690,12.103
1_2017_999,2017,,85-89,1,999,2480,4.8
1_2017_999,2017,,85-89,1,999,23040,9.95
1_2017_999,2017,,85-89,1,999,40350,7.605
1_2017_999,2017,,85-89,1,999,25550,10.597
1_2017_999,2017,,85-89,1,999,24630,9.966
1_2017_999,2017,,85-89,1,999,2260,6.112
1_2017_999,2017,,85-89,1,999,2160,3.978
1_2017_999,2017,,85-89,1,999,35830,8.415
1_2017_999,2017,,85-89,1,999,2530,8.416
1_2017_999,2017,,85-89,1,999,29670,10.141
1_2017_999,2017,,85-89,1,999,64660,9.506
1_2017_999,2017,,85-89,1,999,130,0
1_2017_999,2017,,85-89,1,999,57000,11.12
1_2017_999,2017,,85-89,1,999,45110,10.096
1_2017_999,2017,,85-89,1,999,503090,9.627
1_2017_999,2017,,85-89,1,999,290,3.86
1_2017_999,2017,,85-89,1,999,59140,10.265
1_2017_999,2017,,85-89,1,999,54060,9.943
1_2017_999,2017,,85-89,1,999,26920,9.717
2_2017_999,2017,,85-89,2,999,116220,15.017
2_2017_999,2017,,85-89,2,999,53200,16.364
2_2017_999,2017,,85-89,2,999,899070,15.326
2_2017_999,2017,,85-89,2,999,73850,13.854
2_2017_999,2017,,85-89,2,999,160,0
2_2017_999,2017,,85-89,2,999,450,4.204
2_2017_999,2017,,85-89,2,999,39320,15.367
2_2017_999,2017,,85-89,2,999,4440,13.697
2_2017_999,2017,,85-89,2,999,44030,16.167
2_2017_999,2017,,85-89,2,999,4490,8.086
2_2017_999,2017,,85-89,2,999,4140,6.428
2_2017_999,2017,,85-89,2,999,52150,15.564
2_2017_999,2017,,85-89,2,999,3620,5.221
2_2017_999,2017,,85-89,2,999,77650,15.765
2_2017_999,2017,,85-89,2,999,75510,12.852
2_2017_999,2017,,85-89,2,999,48680,15.776
2_2017_999,2017,,85-89,2,999,106320,16.11
2_2017_999,2017,,85-89,2,999,89700,15.719
2_2017_999,2017,,85-89,2,999,99110,17.178
9_2017_999,2017,,85-89,9,999,143760,13.547
9_2017_999,2017,,85-89,9,999,6620,5.818
9_2017_999,2017,,85-89,9,999,1402160,13.281
9_2017_999,2017,,85-89,9,999,290,0
9_2017_999,2017,,85-89,9,999,5780,4.756
9_2017_999,2017,,85-89,9,999,82880,14.136
9_2017_999,2017,,85-89,9,999,68660,13.943
9_2017_999,2017,,85-89,9,999,115870,11.025
9_2017_999,2017,,85-89,9,999,79070,13.573
9_2017_999,2017,,85-89,9,999,6750,7.426
9_2017_999,2017,,85-89,9,999,740,4.071
9_2017_999,2017,,85-89,9,999,122750,13.682
9_2017_999,2017,,85-89,9,999,180880,13.047
9_2017_999,2017,,85-89,9,999,62360,13.366
9_2017_999,2017,,85-89,9,999,109680,12.077
9_2017_999,2017,,85-89,9,999,74230,13.994
9_2017_999,2017,,85-89,9,999,156100,14.966
9_2017_999,2017,,85-89,9,999,165470,14.02
9_2017_999,2017,,85-89,9,999,6970,11.779
1_2017_999,2017,,90-94,1,999,1120,4.906
1_2017_999,2017,,90-94,1,999,940,6.944
1_2017_999,2017,,90-94,1,999,10850,11.987
1_2017_999,2017,,90-94,1,999,24360,11.704
1_2017_999,2017,,90-94,1,999,1120,4.208
1_2017_999,2017,,90-94,1,999,208420,11.357
1_2017_999,2017,,90-94,1,999,1030,12.318
1_2017_999,2017,,90-94,1,999,24800,13.48
1_2017_999,2017,,90-94,1,999,22780,11.461
1_2017_999,2017,,90-94,1,999,13260,11.77
1_2017_999,2017,,90-94,1,999,18760,11.735
1_2017_999,2017,,90-94,1,999,13510,9.95
1_2017_999,2017,,90-94,1,999,40,0
1_2017_999,2017,,90-94,1,999,10670,11.823
1_2017_999,2017,,90-94,1,999,10000,10.725
1_2017_999,2017,,90-94,1,999,14850,9.111
1_2017_999,2017,,90-94,1,999,27010,11.753
1_2017_999,2017,,90-94,1,999,10360,11.232
1_2017_999,2017,,90-94,1,999,130,0
2_2017_999,2017,,90-94,2,999,26900,16.638
2_2017_999,2017,,90-94,2,999,25140,16.63
2_2017_999,2017,,90-94,2,999,22680,16.291
2_2017_999,2017,,90-94,2,999,38350,14.249
2_2017_999,2017,,90-94,2,999,39650,13.497
2_2017_999,2017,,90-94,2,999,2370,7.426
2_2017_999,2017,,90-94,2,999,28710,17.121
2_2017_999,2017,,90-94,2,999,31020,18.309
2_2017_999,2017,,90-94,2,999,52360,17.242
2_2017_999,2017,,90-94,2,999,45100,17.567
2_2017_999,2017,,90-94,2,999,2320,6.592
2_2017_999,2017,,90-94,2,999,65610,16.929
2_2017_999,2017,,90-94,2,999,60,0
2_2017_999,2017,,90-94,2,999,2440,15.533
2_2017_999,2017,,90-94,2,999,2250,6.058
2_2017_999,2017,,90-94,2,999,58940,18.879
2_2017_999,2017,,90-94,2,999,60530,17.218
2_2017_999,2017,,90-94,2,999,508230,16.68
2_2017_999,2017,,90-94,2,999,250,7.317
9_2017_999,2017,,90-94,9,999,37570,15.271
9_2017_999,2017,,90-94,9,999,3440,6.043
9_2017_999,2017,,90-94,9,999,3360,5.443
9_2017_999,2017,,90-94,9,999,370,6.469
9_2017_999,2017,,90-94,9,999,32680,14.589
9_2017_999,2017,,90-94,9,999,716650,15.132
9_2017_999,2017,,90-94,9,999,54500,12.302
9_2017_999,2017,,90-94,9,999,51860,13.129
9_2017_999,2017,,90-94,9,999,3470,14.578
9_2017_999,2017,,90-94,9,999,35500,15.054
9_2017_999,2017,,90-94,9,999,92620,15.419
9_2017_999,2017,,90-94,9,999,63850,15.854
9_2017_999,2017,,90-94,9,999,84880,15.635
9_2017_999,2017,,90-94,9,999,75140,15.489
9_2017_999,2017,,90-94,9,999,83740,17.28
9_2017_999,2017,,90-94,9,999,44280,16.351
9_2017_999,2017,,90-94,9,999,3310,7.29
9_2017_999,2017,,90-94,9,999,39550,15.713
9_2017_999,2017,,90-94,9,999,100,0
1_2017_999,2017,,95et+,1,999,50,0
1_2017_999,2017,,95et+,1,999,2450,12.322
1_2017_999,2017,,95et+,1,999,6310,13.783
1_2017_999,2017,,95et+,1,999,430,2.546
1_2017_999,2017,,95et+,1,999,5930,11.902
1_2017_999,2017,,95et+,1,999,2410,13.024
1_2017_999,2017,,95et+,1,999,220,5.069
1_2017_999,2017,,95et+,1,999,440,2.989
1_2017_999,2017,,95et+,1,999,3190,8.968
1_2017_999,2017,,95et+,1,999,3170,14.11
1_2017_999,2017,,95et+,1,999,20,0
1_2017_999,2017,,95et+,1,999,2650,11.76
1_2017_999,2017,,95et+,1,999,300,10.561
1_2017_999,2017,,95et+,1,999,2940,9.551
1_2017_999,2017,,95et+,1,999,5930,12.323
1_2017_999,2017,,95et+,1,999,51730,11.871
1_2017_999,2017,,95et+,1,999,2520,10.23
1_2017_999,2017,,95et+,1,999,6890,12.912
1_2017_999,2017,,95et+,1,999,5100,12.564
2_2017_999,2017,,95et+,2,999,120,0
2_2017_999,2017,,95et+,2,999,9370,16.772
2_2017_999,2017,,95et+,2,999,22850,19.132
2_2017_999,2017,,95et+,2,999,920,9.761
2_2017_999,2017,,95et+,2,999,30,0
2_2017_999,2017,,95et+,2,999,11520,18.38
2_2017_999,2017,,95et+,2,999,21830,16.36
2_2017_999,2017,,95et+,2,999,12100,14.02
2_2017_999,2017,,95et+,2,999,188560,16.857
2_2017_999,2017,,95et+,2,999,9250,16.488
2_2017_999,2017,,95et+,2,999,970,14.7
2_2017_999,2017,,95et+,2,999,20040,17.383
2_2017_999,2017,,95et+,2,999,8580,16.142
2_2017_999,2017,,95et+,2,999,9790,17.535
2_2017_999,2017,,95et+,2,999,26230,18.096
2_2017_999,2017,,95et+,2,999,17990,18.249
2_2017_999,2017,,95et+,2,999,1230,6.26
2_2017_999,2017,,95et+,2,999,12850,13.081
2_2017_999,2017,,95et+,2,999,1120,5.376
9_2017_999,2017,,95et+,9,999,23090,16.993
9_2017_999,2017,,95et+,9,999,1550,4.707
9_2017_999,2017,,95et+,9,999,12200,16.643
9_2017_999,2017,,95et+,9,999,160,0
9_2017_999,2017,,95et+,9,999,16040,12.263
9_2017_999,2017,,95et+,9,999,11820,15.849
9_2017_999,2017,,95et+,9,999,1270,13.712
9_2017_999,2017,,95et+,9,999,11100,14.799
9_2017_999,2017,,95et+,9,999,1660,5.295
9_2017_999,2017,,95et+,9,999,50,0
9_2017_999,2017,,95et+,9,999,15040,13.146
9_2017_999,2017,,95et+,9,999,11900,15.434
9_2017_999,2017,,95et+,9,999,33120,17.018
9_2017_999,2017,,95et+,9,999,25980,16.131
9_2017_999,2017,,95et+,9,999,14690,17.459
9_2017_999,2017,,95et+,9,999,1140,8.867
9_2017_999,2017,,95et+,9,999,29150,17.975
9_2017_999,2017,,95et+,9,999,240290,15.784
9_2017_999,2017,,95et+,9,999,27770,15.497
1_2017_999,2017,,tsage,1,999,1297780,3.313
1_2017_999,2017,,tsage,1,999,1536150,3.518
1_2017_999,2017,,tsage,1,999,169630,1.032
1_2017_999,2017,,tsage,1,999,5576610,2.52
1_2017_999,2017,,tsage,1,999,2411590,3.035
1_2017_999,2017,,tsage,1,999,1766600,2.937
1_2017_999,2017,,tsage,1,999,1546910,3.008
1_2017_999,2017,,tsage,1,999,2734170,2.892
1_2017_999,2017,,tsage,1,999,3693970,3.079
1_2017_999,2017,,tsage,1,999,158810,0.892
1_2017_999,2017,,tsage,1,999,138670,3.059
1_2017_999,2017,,tsage,1,999,87400,0.58
1_2017_999,2017,,tsage,1,999,422330,0.998
1_2017_999,2017,,tsage,1,999,2758060,3.337
1_2017_999,2017,,tsage,1,999,2479770,2.658
1_2017_999,2017,,tsage,1,999,2775810,2.84
1_2017_999,2017,,tsage,1,999,31017600,2.875
1_2017_999,2017,,tsage,1,999,45190,0.686
1_2017_999,2017,,tsage,1,999,1191550,3.144
2_2017_999,2017,,tsage,2,999,2985450,6.04
2_2017_999,2017,,tsage,2,999,199980,1.698
2_2017_999,2017,,tsage,2,999,463490,1.744
2_2017_999,2017,,tsage,2,999,150970,6.506
2_2017_999,2017,,tsage,2,999,4012640,6.3
2_2017_999,2017,,tsage,2,999,3017600,5.931
2_2017_999,2017,,tsage,2,999,1681750,6.274
2_2017_999,2017,,tsage,2,999,6170930,5.069
2_2017_999,2017,,tsage,2,999,1682530,7.287
2_2017_999,2017,,tsage,2,999,1907280,6.179
2_2017_999,2017,,tsage,2,999,2700110,5.783
2_2017_999,2017,,tsage,2,999,3034480,7.042
2_2017_999,2017,,tsage,2,999,210840,1.799
2_2017_999,2017,,tsage,2,999,1303330,6.67
2_2017_999,2017,,tsage,2,999,103760,0.984
2_2017_999,2017,,tsage,2,999,2668080,6.216
2_2017_999,2017,,tsage,2,999,55220,0.525
2_2017_999,2017,,tsage,2,999,33992800,5.976
2_2017_999,2017,,tsage,2,999,1406640,7.185
9_2017_999,2017,,tsage,9,999,5792540,5.278
9_2017_999,2017,,tsage,9,999,191160,0.799
9_2017_999,2017,,tsage,9,999,5793410,4.45
9_2017_999,2017,,tsage,9,999,380470,1.457
9_2017_999,2017,,tsage,9,999,358790,1.341
9_2017_999,2017,,tsage,9,999,100410,0.598
9_2017_999,2017,,tsage,9,999,5719620,4.535
9_2017_999,2017,,tsage,9,999,5079660,4.705
9_2017_999,2017,,tsage,9,999,885830,1.389
9_2017_999,2017,,tsage,9,999,289640,4.856
9_2017_999,2017,,tsage,9,999,3218680,5.488
9_2017_999,2017,,tsage,9,999,5179880,4.287
9_2017_999,2017,,tsage,9,999,2494880,4.986
9_2017_999,2017,,tsage,9,999,3228660,4.709
9_2017_999,2017,,tsage,9,999,7706610,4.756
9_2017_999,2017,,tsage,9,999,2704420,5.327
9_2017_999,2017,,tsage,9,999,3673880,4.62
9_2017_999,2017,,tsage,9,999,65010400,4.497
9_2017_999,2017,,tsage,9,999,11747500,3.859
1_2018_01,2018,,00-04,1,01,18490,0
2_2018_01,2018,,00-04,2,01,17180,0
9_2018_01,2018,,00-04,9,01,35670,0
1_2018_01,2018,,05-09,1,01,20440,0
2_2018_01,2018,,05-09,2,01,19280,0
9_2018_01,2018,,05-09,9,01,39720,0
1_2018_01,2018,,10-14,1,01,20480,0.127
2_2018_01,2018,,10-14,2,01,19460,0.139
9_2018_01,2018,,10-14,9,01,39940,0.133
1_2018_01,2018,,15-19,1,01,18770,0.352
2_2018_01,2018,,15-19,2,01,18400,0.554
9_2018_01,2018,,15-19,9,01,37170,0.452
1_2018_01,2018,,20-24,1,01,14890,0.598
2_2018_01,2018,,20-24,2,01,16040,1.16
9_2018_01,2018,,20-24,9,01,30930,0.889
1_2018_01,2018,,25-29,1,01,15150,1.03
2_2018_01,2018,,25-29,2,01,16800,1.917
9_2018_01,2018,,25-29,9,01,31940,1.496
1_2018_01,2018,,30-34,1,01,17030,1.715
2_2018_01,2018,,30-34,2,01,19410,3.046
9_2018_01,2018,,30-34,9,01,36430,2.424
1_2018_01,2018,,35-39,1,01,18400,2.185
2_2018_01,2018,,35-39,2,01,20730,4.709
9_2018_01,2018,,35-39,9,01,39120,3.522
1_2018_01,2018,,40-44,1,01,17900,3.229
2_2018_01,2018,,40-44,2,01,19510,6.735
9_2018_01,2018,,40-44,9,01,37410,5.058
1_2018_01,2018,,45-49,1,01,20840,3.748
2_2018_01,2018,,45-49,2,01,21940,8.117
9_2018_01,2018,,45-49,9,01,42780,5.988
1_2018_01,2018,,50-54,1,01,20500,4.254
2_2018_01,2018,,50-54,2,01,21000,9.159
9_2018_01,2018,,50-54,9,01,41500,6.736
1_2018_01,2018,,55-59,1,01,18860,4.736
2_2018_01,2018,,55-59,2,01,19450,9.832
9_2018_01,2018,,55-59,9,01,38300,7.324
1_2018_01,2018,,60-64,1,01,16840,4.696
2_2018_01,2018,,60-64,2,01,17990,9.37
9_2018_01,2018,,60-64,9,01,34840,7.11
1_2018_01,2018,,65-69,1,01,16160,4.683
2_2018_01,2018,,65-69,2,01,16630,9.519
9_2018_01,2018,,65-69,9,01,32790,7.135
1_2018_01,2018,,70-74,1,01,13240,5.757
2_2018_01,2018,,70-74,2,01,14250,11.304
9_2018_01,2018,,70-74,9,01,27490,8.633
1_2018_01,2018,,75-79,1,01,8590,6.453
2_2018_01,2018,,75-79,2,01,9550,12.037
9_2018_01,2018,,75-79,9,01,18140,9.394
1_2018_01,2018,,80-84,1,01,6310,8.267
2_2018_01,2018,,80-84,2,01,8380,14.315
9_2018_01,2018,,80-84,9,01,14700,11.717
1_2018_01,2018,,85-89,1,01,4110,9.759
2_2018_01,2018,,85-89,2,01,6980,14.807
9_2018_01,2018,,85-89,9,01,11090,12.937
1_2018_01,2018,,90-94,1,01,1800,10.982
2_2018_01,2018,,90-94,2,01,4040,15.266
9_2018_01,2018,,90-94,9,01,5840,13.943
1_2018_01,2018,,95et+,1,01,470,10.47
2_2018_01,2018,,95et+,2,01,1590,12.861
9_2018_01,2018,,95et+,9,01,2060,12.318
1_2018_01,2018,,tsage,1,01,289260,2.833
2_2018_01,2018,,tsage,2,01,308590,5.905
9_2018_01,2018,,tsage,9,01,597850,4.419
1_2018_02,2018,,00-04,1,02,14570,0
2_2018_02,2018,,00-04,2,02,13970,0
9_2018_02,2018,,00-04,9,02,28540,0
1_2018_02,2018,,05-09,1,02,16630,0
2_2018_02,2018,,05-09,2,02,15880,0
9_2018_02,2018,,05-09,9,02,32510,0
1_2018_02,2018,,10-14,1,02,16360,0.073
2_2018_02,2018,,10-14,2,02,15780,0.101
9_2018_02,2018,,10-14,9,02,32140,0.087
1_2018_02,2018,,15-19,1,02,16120,0.304
2_2018_02,2018,,15-19,2,02,16220,0.58
9_2018_02,2018,,15-19,9,02,32340,0.442
1_2018_02,2018,,20-24,1,02,13040,0.683
2_2018_02,2018,,20-24,2,02,13960,1.253
9_2018_02,2018,,20-24,9,02,27000,0.978
1_2018_02,2018,,25-29,1,02,13160,1.14
2_2018_02,2018,,25-29,2,02,14280,2.017
9_2018_02,2018,,25-29,9,02,27440,1.596
1_2018_02,2018,,30-34,1,02,14410,1.714
2_2018_02,2018,,30-34,2,02,15660,3.417
9_2018_02,2018,,30-34,9,02,30070,2.601
1_2018_02,2018,,35-39,1,02,14960,2.514
2_2018_02,2018,,35-39,2,02,15700,5.241
9_2018_02,2018,,35-39,9,02,30660,3.911
1_2018_02,2018,,40-44,1,02,14210,3.59
2_2018_02,2018,,40-44,2,02,14920,6.899
9_2018_02,2018,,40-44,9,02,29120,5.284
1_2018_02,2018,,45-49,1,02,16590,4.015
2_2018_02,2018,,45-49,2,02,17050,8.661
9_2018_02,2018,,45-49,9,02,33640,6.37
1_2018_02,2018,,50-54,1,02,16550,4.636
2_2018_02,2018,,50-54,2,02,17070,9.955
9_2018_02,2018,,50-54,9,02,33610,7.337
1_2018_02,2018,,55-59,1,02,16860,5.393
2_2018_02,2018,,55-59,2,02,17520,10.707
9_2018_02,2018,,55-59,9,02,34380,8.101
1_2018_02,2018,,60-64,1,02,16200,4.921
2_2018_02,2018,,60-64,2,02,17030,10
9_2018_02,2018,,60-64,9,02,33230,7.524
1_2018_02,2018,,65-69,1,02,15910,4.971
2_2018_02,2018,,65-69,2,02,17000,10.091
9_2018_02,2018,,65-69,9,02,32910,7.615
1_2018_02,2018,,70-74,1,02,12220,5.255
2_2018_02,2018,,70-74,2,02,13500,11.272
9_2018_02,2018,,70-74,9,02,25720,8.414
1_2018_02,2018,,75-79,1,02,6930,6.811
2_2018_02,2018,,75-79,2,02,8780,12.66
9_2018_02,2018,,75-79,9,02,15710,10.079
1_2018_02,2018,,80-84,1,02,5980,7.51
